transaction_id,timestamp,hour_of_day,channel,channel_code,txn_type,txn_type_code,merchant_category,merchant_cat_code,amount_usd,amount_log,cross_border,is_cross_bank,is_high_value,is_peak_hour,message_complexity,simulated_network_load_tps,load_z,issuer_host_available
TXN100000,2026-01-17 11:01:29,11,ATM,0,FUND_TRANSFER,2,Entertainment,3,90.93,4.521027417875663,False,1,0,1,3,49.2,0.28092894145244696,True
TXN100001,2026-05-20 12:34:36,12,POS,3,FUND_TRANSFER,2,Entertainment,3,35.13,3.587123545159549,False,1,0,1,3,58.6,0.9423220276329533,True
TXN100002,2026-04-28 23:07:29,23,ECOM,1,WITHDRAWAL,5,Transport,10,8.88,2.2905125117597764,False,1,0,0,2,16.3,-2.033946860179326,True
TXN100003,2026-03-20 06:05:43,6,MOBILE_APP,2,BALANCE_INQUIRY,0,Transport,10,30.61,3.4534735262275262,False,1,0,0,1,27.7,-1.2318318407689244,True
TXN100004,2026-03-19 07:13:24,7,ECOM,1,BALANCE_INQUIRY,0,Education,2,16.85,2.8820035082256483,False,1,0,0,1,38.1,-0.5000777879734704,True
TXN100005,2026-06-04 12:44:54,12,ECOM,1,PURCHASE,3,Healthcare,8,36.02,3.6114583071453517,False,1,0,1,2,61.4,1.139332734154806,True
TXN100006,2026-01-16 08:38:41,8,MOBILE_APP,2,PURCHASE,3,Fuel,5,25.92,3.2928695047765273,False,1,0,0,2,47.5,0.16131529820703602,True
TXN100007,2026-05-06 17:17:02,17,ATM,0,PURCHASE,3,Healthcare,8,261.38,5.569793834652884,False,0,1,0,2,55.0,0.6890225478191422,True
TXN100008,2026-02-06 11:56:10,11,ECOM,1,PURCHASE,3,Financial Services,4,53.83,4.004237489415957,False,1,0,1,2,51.4,0.4357230680053311,True
TXN100009,2026-01-17 19:57:17,19,POS,3,PURCHASE,3,Education,2,78.15,4.371344786327021,True,1,0,1,3,52.4,0.5060840346202786,True
TXN100010,2026-04-05 18:07:11,18,POS,3,FUND_TRANSFER,2,Healthcare,8,29.61,3.421326752957321,False,1,0,1,3,57.7,0.8789971576795006,True
TXN100011,2026-06-25 13:01:47,13,POS,3,BALANCE_INQUIRY,0,Government/Tax,6,51.65,3.9636662385799846,False,1,0,0,1,57.5,0.8649249643565109,True
TXN100012,2026-05-13 19:57:00,19,POS,3,PURCHASE,3,Education,2,20.72,3.0782334950657346,True,1,0,1,3,48.0,0.19649578151450975,True
TXN100013,2026-05-18 07:33:47,7,ECOM,1,PURCHASE,3,E-commerce,1,22.81,3.170105660498771,True,1,0,0,3,37.0,-0.5774748512499127,True
TXN100014,2026-05-10 15:48:22,15,ECOM,1,WITHDRAWAL,5,Entertainment,3,92.42,4.537105455073962,True,1,0,0,3,44.1,-0.07791198828378536,True
TXN100015,2026-05-22 15:42:34,15,ATM,0,WITHDRAWAL,5,Entertainment,3,87.09,4.478359019121704,False,1,0,0,2,46.5,0.09095433159208852,True
TXN100016,2026-04-03 09:51:11,9,POS,3,PURCHASE,3,Healthcare,8,22.68,3.164630810015805,False,1,0,1,2,51.2,0.4216508746823419,True
TXN100017,2026-01-24 04:25:03,4,ECOM,1,REVERSAL,4,Financial Services,4,390.11,5.9689888503427975,False,1,1,0,4,6.0,-2.758664816313285,True
TXN100018,2026-06-01 14:27:58,14,ATM,0,PURCHASE,3,Grocery,7,74.8,4.328098292648326,False,0,0,0,2,43.4,-0.1271646649142488,True
TXN100019,2026-03-23 14:57:35,14,MOBILE_APP,2,BALANCE_INQUIRY,0,Entertainment,3,140.93,4.955333978311167,False,1,1,0,1,47.7,0.17538749153002572,True
TXN100020,2026-04-01 16:39:31,16,MOBILE_APP,2,WITHDRAWAL,5,Airtime/Telecom,0,47.55,3.882594194737334,False,1,0,0,2,47.9,0.1894596848530149,True
TXN100021,2026-03-08 09:17:49,9,MOBILE_APP,2,PURCHASE,3,Restaurant,9,81.58,4.413767520457944,False,0,0,1,2,49.9,0.3301816180829099,True
TXN100022,2026-02-02 08:26:18,8,POS,3,PURCHASE,3,Transport,10,32.93,3.5242995787961386,False,1,0,0,2,49.8,0.32314552142141506,True
TXN100023,2026-06-16 22:01:01,22,ECOM,1,BALANCE_INQUIRY,0,Transport,10,8.14,2.2126603854660587,False,1,0,0,1,18.9,-1.8510083469804623,True
TXN100024,2026-05-21 07:59:26,7,MOBILE_APP,2,PURCHASE,3,Education,2,37.84,3.659450643423124,False,0,0,0,2,35.4,-0.6900523978338288,True
TXN100025,2026-04-26 23:41:12,23,MOBILE_APP,2,BALANCE_INQUIRY,0,Utilities,11,21.46,3.111735949310297,False,0,0,0,1,15.6,-2.083199536809789,True
TXN100026,2026-03-14 17:30:02,17,ECOM,1,BALANCE_INQUIRY,0,Restaurant,9,64.82,4.186923743515194,True,1,0,0,2,53.9,0.6116254845426998,True
TXN100027,2026-05-29 16:30:50,16,USSD,4,PURCHASE,3,Education,2,35.63,3.6008675767907232,True,1,0,0,3,48.3,0.2176040714989938,True
TXN100028,2026-04-09 11:59:47,11,POS,3,PURCHASE,3,Entertainment,3,22.27,3.1471649773142003,False,1,0,1,2,52.5,0.5131201312817735,True
TXN100029,2026-03-21 19:36:14,19,MOBILE_APP,2,WITHDRAWAL,5,Airtime/Telecom,0,20.46,3.0661907372025525,False,1,0,1,2,46.6,0.09799042825358337,True
TXN100030,2026-03-23 20:10:55,20,ATM,0,PURCHASE,3,Fuel,5,86.11,4.467171687830801,False,0,0,0,2,40.9,-0.30306708145161754,True
TXN100031,2026-02-10 17:33:03,17,ATM,0,FUND_TRANSFER,2,Financial Services,4,66.58,4.213312081286144,False,1,0,0,3,53.2,0.5623728079122369,True
TXN100032,2026-01-17 17:02:04,17,MOBILE_APP,2,PURCHASE,3,Airtime/Telecom,0,215.73,5.378652339200311,False,1,1,0,2,54.7,0.6679142578346582,True
TXN100033,2026-04-10 13:43:43,13,POS,3,BILL_PAYMENT,1,Transport,10,73.53,4.311201728893603,False,1,0,0,3,50.9,0.40054258469785736,True
TXN100034,2026-06-09 06:42:13,6,ATM,0,PURCHASE,3,Utilities,11,4.4,1.6863989535702288,False,1,0,0,2,22.5,-1.5977088671666513,True
TXN100035,2026-01-12 23:28:46,23,ATM,0,PURCHASE,3,Grocery,7,40.11,3.716251400909787,False,1,0,0,2,20.4,-1.7454668970580411,True
TXN100036,2026-06-04 00:47:36,0,ECOM,1,WITHDRAWAL,5,Restaurant,9,21.12,3.096482176654134,True,1,0,0,3,12.5,-2.301318533316126,True
TXN100037,2026-05-29 13:04:23,13,POS,3,WITHDRAWAL,5,Fuel,5,13.81,2.6953026282797072,False,0,0,0,2,57.6,0.8719610610180057,True
TXN100038,2026-02-19 11:05:27,11,MOBILE_APP,2,BILL_PAYMENT,1,Healthcare,8,15.26,2.7887081041196646,False,1,0,1,3,53.0,0.5483006145892472,True
TXN100039,2026-04-24 18:03:43,18,ATM,0,PURCHASE,3,Healthcare,8,279.25,5.635682061952269,False,1,1,1,2,60.5,1.0760078642013535,True
TXN100040,2026-01-30 17:30:56,17,ECOM,1,FUND_TRANSFER,2,Transport,10,17.88,2.9381031607173544,False,1,0,0,3,53.7,0.5975532912197107,True
TXN100041,2026-05-17 16:01:34,16,ECOM,1,PURCHASE,3,Education,2,23.71,3.2072080200005186,False,1,0,0,2,50.9,0.40054258469785736,True
TXN100042,2026-05-07 06:14:40,6,MOBILE_APP,2,PURCHASE,3,Transport,10,30.97,3.4647979630717503,False,1,0,0,2,20.9,-1.7102864137505673,True
TXN100043,2026-03-05 09:57:14,9,MOBILE_APP,2,PURCHASE,3,Utilities,11,77.23,4.359653205696989,False,1,0,1,2,56.6,0.8016000944030583,True
TXN100044,2026-01-13 06:11:14,6,POS,3,BALANCE_INQUIRY,0,Transport,10,54.39,4.014399072045013,False,1,0,0,1,29.0,-1.1403625841694927,True
TXN100045,2026-06-24 22:57:24,22,ATM,0,PURCHASE,3,Government/Tax,6,191.89,5.262120078236149,False,1,1,0,2,27.0,-1.2810845173993877,True
TXN100046,2026-03-22 07:47:23,7,ATM,0,PURCHASE,3,Government/Tax,6,51.73,3.9651845535423784,True,1,0,0,3,32.3,-0.908171394340166,True
TXN100047,2026-06-10 22:23:36,22,ECOM,1,FUND_TRANSFER,2,Restaurant,9,41.05,3.738859386418957,False,0,0,0,3,18.3,-1.8932249269494308,True
TXN100048,2026-05-03 07:43:55,7,ATM,0,BILL_PAYMENT,1,Fuel,5,82.73,4.4275973362163406,False,0,0,0,3,36.0,-0.6478358178648601,True
TXN100049,2026-05-21 19:40:50,19,ECOM,1,WITHDRAWAL,5,Transport,10,134.88,4.911772143292383,False,1,1,1,2,51.8,0.46386745465131,True
TXN100050,2026-05-17 15:37:52,15,ECOM,1,FUND_TRANSFER,2,Grocery,7,15.15,2.7819200496686656,False,1,0,0,3,42.8,-0.1693812448832174,True
TXN100051,2026-02-05 19:03:14,19,USSD,4,PURCHASE,3,Fuel,5,7.0,2.0794415416798357,False,1,0,1,2,48.4,0.22464016816048865,True
TXN100052,2026-03-07 16:03:15,16,ECOM,1,BALANCE_INQUIRY,0,Education,2,3.88,1.5851452198650557,False,1,0,0,1,45.7,0.034665558300130725,True
TXN100053,2026-03-26 18:42:07,18,POS,3,WITHDRAWAL,5,Government/Tax,6,30.08,3.436564525499447,True,1,0,1,3,60.0,1.0408273808938797,True
TXN100054,2026-03-31 17:22:46,17,ECOM,1,BALANCE_INQUIRY,0,Transport,10,185.75,5.229770824012927,False,1,1,0,1,52.1,0.48497574463579457,True
TXN100055,2026-01-08 10:27:52,10,ATM,0,PURCHASE,3,Financial Services,4,171.84,5.152366311063733,False,1,1,1,2,49.7,0.3161094247599207,True
TXN100056,2026-04-09 21:39:20,21,ECOM,1,BILL_PAYMENT,1,Education,2,119.27,4.789739215322525,False,1,0,0,3,29.9,-1.0770377142160399,True
TXN100057,2026-01-28 16:29:57,16,POS,3,BILL_PAYMENT,1,Financial Services,4,16.57,2.866192902199006,False,1,0,0,3,48.3,0.2176040714989938,True
TXN100058,2026-05-14 09:21:53,9,MOBILE_APP,2,PURCHASE,3,Restaurant,9,32.41,3.508855256368665,False,1,0,1,2,50.0,0.33721771474440476,True
TXN100059,2026-05-03 10:06:03,10,POS,3,PURCHASE,3,E-commerce,1,83.55,4.4373430753445895,False,1,0,1,2,50.5,0.3723981980518785,True
TXN100060,2026-06-16 14:58:37,14,ATM,0,PURCHASE,3,Restaurant,9,31.66,3.486151087542319,False,1,0,0,2,48.3,0.2176040714989938,True
TXN100061,2026-05-15 20:23:57,20,USSD,4,FUND_TRANSFER,2,Restaurant,9,19.14,3.0027078872904163,False,1,0,0,3,45.3,0.0065211716541513295,True
TXN100062,2026-03-07 18:47:00,18,MOBILE_APP,2,PURCHASE,3,Healthcare,8,18.67,2.979094632400968,False,1,0,1,2,62.7,1.230801990754238,True
TXN100063,2026-06-24 10:10:44,10,MOBILE_APP,2,WITHDRAWAL,5,Entertainment,3,83.53,4.437106500940836,False,1,0,1,2,54.1,0.6256976778656895,True
TXN100064,2026-03-15 17:19:11,17,POS,3,PURCHASE,3,Healthcare,8,21.91,3.1315734964654043,False,1,0,0,2,57.4,0.857888867695016,True
TXN100065,2026-02-28 00:00:55,0,POS,3,FUND_TRANSFER,2,Transport,10,15.51,2.8039662579320366,False,0,0,0,3,14.1,-2.1887409867322103,True
TXN100066,2026-06-12 11:03:59,11,ATM,0,PURCHASE,3,Government/Tax,6,151.05,5.024209414123374,False,1,1,1,2,54.8,0.6749503544961525,True
