transaction_id,timestamp,hour_of_day,txn_type,mti_code,channel,issuer_bank_id,acquirer_bank_id,merchant_category,amount_usd,cross_border,simulated_network_load_tps,issuer_host_available
TXN100000,2026-01-17 11:01:29,11,FUND_TRANSFER,0200,ATM,2,5,Entertainment,90.93,False,49.2,True
TXN100001,2026-05-20 12:34:36,12,FUND_TRANSFER,0200,POS,6,3,Entertainment,35.13,False,58.6,True
TXN100002,2026-04-28 23:07:29,23,WITHDRAWAL,0200,ECOM,2,1,Transport,8.88,False,16.3,True
TXN100003,2026-03-20 06:05:43,6,BALANCE_INQUIRY,0100,MOBILE_APP,1,3,Transport,30.61,False,27.7,True
TXN100004,2026-03-19 07:13:24,7,BALANCE_INQUIRY,0100,ECOM,2,6,Education,16.85,False,38.1,True
TXN100005,2026-06-04 12:44:54,12,PURCHASE,0200,ECOM,3,5,Healthcare,36.02,False,61.4,True
TXN100006,2026-01-16 08:38:41,8,PURCHASE,0200,MOBILE_APP,3,1,Fuel,25.92,False,47.5,True
TXN100007,2026-05-06 17:17:02,17,PURCHASE,0200,ATM,5,5,Healthcare,261.38,False,55.0,True
TXN100008,2026-02-06 11:56:10,11,PURCHASE,0200,ECOM,3,6,Financial Services,53.83,False,51.4,True
TXN100009,2026-01-17 19:57:17,19,PURCHASE,0200,POS,2,5,Education,78.15,True,52.4,True
TXN100010,2026-04-05 18:07:11,18,FUND_TRANSFER,0200,POS,3,1,Healthcare,29.61,False,57.7,True
TXN100011,2026-06-25 13:01:47,13,BALANCE_INQUIRY,0100,POS,4,6,Government/Tax,51.65,False,57.5,True
TXN100012,2026-05-13 19:57:00,19,PURCHASE,0200,POS,2,4,Education,20.72,True,48.0,True
TXN100013,2026-05-18 07:33:47,7,PURCHASE,0200,ECOM,6,5,E-commerce,22.81,True,37.0,True
TXN100014,2026-05-10 15:48:22,15,WITHDRAWAL,0200,ECOM,5,4,Entertainment,92.42,True,44.1,True
TXN100015,2026-05-22 15:42:34,15,WITHDRAWAL,0200,ATM,3,4,Entertainment,87.09,False,46.5,True
TXN100016,2026-04-03 09:51:11,9,PURCHASE,0200,POS,3,1,Healthcare,22.68,False,51.2,True
TXN100017,2026-01-24 04:25:03,4,REVERSAL,0420,ECOM,5,4,Financial Services,390.11,False,6.0,True
TXN100018,2026-06-01 14:27:58,14,PURCHASE,0200,ATM,1,1,Grocery,74.8,False,43.4,True
TXN100019,2026-03-23 14:57:35,14,BALANCE_INQUIRY,0100,MOBILE_APP,5,6,Entertainment,140.93,False,47.7,True
TXN100020,2026-04-01 16:39:31,16,WITHDRAWAL,0200,MOBILE_APP,2,4,Airtime/Telecom,47.55,False,47.9,True
TXN100021,2026-03-08 09:17:49,9,PURCHASE,0200,MOBILE_APP,4,4,Restaurant,81.58,False,49.9,True
TXN100022,2026-02-02 08:26:18,8,PURCHASE,0200,POS,1,5,Transport,32.93,False,49.8,True
TXN100023,2026-06-16 22:01:01,22,BALANCE_INQUIRY,0100,ECOM,3,2,Transport,8.14,False,18.9,True
TXN100024,2026-05-21 07:59:26,7,PURCHASE,0200,MOBILE_APP,4,4,Education,37.84,False,35.4,True
TXN100025,2026-04-26 23:41:12,23,BALANCE_INQUIRY,0100,MOBILE_APP,3,3,Utilities,21.46,False,15.6,True
TXN100026,2026-03-14 17:30:02,17,BALANCE_INQUIRY,0100,ECOM,3,6,Restaurant,64.82,True,53.9,True
TXN100027,2026-05-29 16:30:50,16,PURCHASE,0200,USSD,5,4,Education,35.63,True,48.3,True
TXN100028,2026-04-09 11:59:47,11,PURCHASE,0200,POS,1,3,Entertainment,22.27,False,52.5,True
TXN100029,2026-03-21 19:36:14,19,WITHDRAWAL,0200,MOBILE_APP,2,5,Airtime/Telecom,20.46,False,46.6,True
TXN100030,2026-03-23 20:10:55,20,PURCHASE,0200,ATM,2,2,Fuel,86.11,False,40.9,True
TXN100031,2026-02-10 17:33:03,17,FUND_TRANSFER,0200,ATM,3,5,Financial Services,66.58,False,53.2,True
TXN100032,2026-01-17 17:02:04,17,PURCHASE,0200,MOBILE_APP,5,4,Airtime/Telecom,215.73,False,54.7,True
TXN100033,2026-04-10 13:43:43,13,BILL_PAYMENT,0200,POS,3,1,Transport,73.53,False,50.9,True
